EPOCH	1	Loss
Loss:	=	0.099
Loss:	=	0.092
Loss:	=	0.076
Loss:	=	0.134
Loss:	=	0.128
Loss:	=	0.124
Loss:	=	0.111
Loss:	=	0.103
Loss:	=	0.106
Loss:	=	0.088
Loss:	=	0.105
Loss:	=	0.129
Loss:	=	0.125
Loss:	=	0.076
Loss:	=	0.052
Loss:	=	0.07
Loss:	=	0.104
Loss:	=	0.086
Loss:	=	0.127
Loss:	=	0.097
Loss:	=	0.112
Loss:	=	0.09
Loss:	=	0.144
Loss:	=	0.077
Loss:	=	0.138
Loss:	=	0.117
Loss:	=	0.075
Loss:	=	0.076
Loss:	=	0.143
Loss:	=	0.077
Loss:	=	0.055
		
EPOCH	9	
Loss:	=	0.171
Loss:	=	0.099
Loss:	=	0.09
Loss:	=	0.077
Loss:	=	0.106
Loss:	=	0.08
Loss:	=	0.1
Loss:	=	0.063
Loss:	=	0.079
Loss:	=	0.083
Loss:	=	0.066
Loss:	=	0.085
Loss:	=	0.124
Loss:	=	0.097
Loss:	=	0.1
Loss:	=	0.102
Loss:	=	0.127
Loss:	=	0.115
Loss:	=	0.079
Loss:	=	0.136
Loss:	=	0.099
Loss:	=	0.069
Loss:	=	0.081
Loss:	=	0.125
Loss:	=	0.071
Loss:	=	0.118
Loss:	=	0.084
Loss:	=	0.136
Loss:	=	0.067
Loss:	=	0.089
Loss:	=	0.093
Loss:	=	0.077
Loss:	=	0.108
Loss:	=	0.083
Loss:	=	0.079
Loss:	=	0.071
Loss:	=	0.116
Loss:	=	0.117
Loss:	=	0.104
Loss:	=	0.091
Loss:	=	0.113
Loss:	=	0.101
Loss:	=	0.085
Loss:	=	0.117
Loss:	=	0.089
Loss:	=	0.072
Loss:	=	0.129
Loss:	=	0.065
Loss:	=	0.072
Loss:	=	0.074
Loss:	=	0.081
Loss:	=	0.083
Loss:	=	0.071
Loss:	=	0.132
Loss:	=	0.153
Loss:	=	0.11
Loss:	=	0.093
Loss:	=	0.122
		
EPOCH	1	0
Loss:	=	0.09
Loss:	=	0.13
Loss:	=	0.109
Loss:	=	0.114
Loss:	=	0.081
Loss:	=	0.091
Loss:	=	0.107
Loss:	=	0.09
Loss:	=	0.074
Loss:	=	0.099
Loss:	=	0.129
Loss:	=	0.075
Loss:	=	0.094
Loss:	=	0.057
Loss:	=	0.06
Loss:	=	0.035
Loss:	=	0.094
Loss:	=	0.141
Loss:	=	0.079
Loss:	=	0.092
Loss:	=	0.108
Loss:	=	0.103
Loss:	=	0.091
Loss:	=	0.089
Loss:	=	0.074
Loss:	=	0.051
Loss:	=	0.057
Loss:	=	0.103
Loss:	=	0.068
Loss:	=	0.063
Loss:	=	0.135
Loss:	=	0.097
Loss:	=	0.11
Loss:	=	0.111
Loss:	=	0.059
Loss:	=	0.157
Loss:	=	0.091
Loss:	=	0.095
Loss:	=	0.101
Loss:	=	0.084
Loss:	=	0.118
Loss:	=	0.075
Loss:	=	0.155
Loss:	=	0.079
Loss:	=	0.099
Loss:	=	0.103
Loss:	=	0.133
Loss:	=	0.084
Loss:	=	0.104
Loss:	=	0.084
Loss:	=	0.121
Loss:	=	0.096
Loss:	=	0.093
Loss:	=	0.075
Loss:	=	0.091
Loss:	=	0.106
Loss:	=	0.07
Loss:	=	0.06
		
EPOCH	1	1
Loss:	=	0.11
Loss:	=	0.085
Loss:	=	0.064
Loss:	=	0.059
Loss:	=	0.048
Loss:	=	0.063
Loss:	=	0.072
Loss:	=	0.084
Loss:	=	0.107
Loss:	=	0.102
Loss:	=	0.1
Loss:	=	0.067
Loss:	=	0.069
Loss:	=	0.061
Loss:	=	0.074
Loss:	=	0.07
Loss:	=	0.092
Loss:	=	0.099
Loss:	=	0.075
Loss:	=	0.057
Loss:	=	0.066
Loss:	=	0.061
Loss:	=	0.125
Loss:	=	0.08
Loss:	=	0.09
Loss:	=	0.059
Loss:	=	0.067
Loss:	=	0.069
Loss:	=	0.066
Loss:	=	0.081
Loss:	=	0.057
Loss:	=	0.057
Loss:	=	0.073
Loss:	=	0.043
Loss:	=	0.048
Loss:	=	0.11
Loss:	=	0.092
Loss:	=	0.102
Loss:	=	0.105
Loss:	=	0.123
Loss:	=	0.094
Loss:	=	0.088
Loss:	=	0.098
Loss:	=	0.17
Loss:	=	0.14
Loss:	=	0.12
Loss:	=	0.111
Loss:	=	0.15
Loss:	=	0.09
Loss:	=	0.141
Loss:	=	0.109
Loss:	=	0.125
Loss:	=	0.078
Loss:	=	0.076
Loss:	=	0.102
Loss:	=	0.058
Loss:	=	0.069
Loss:	=	0.071
		
EPOCH	1	2
Loss:	=	0.101
Loss:	=	0.104
Loss:	=	0.095
Loss:	=	0.054
Loss:	=	0.099
Loss:	=	0.085
Loss:	=	0.073
Loss:	=	0.072
Loss:	=	0.061
Loss:	=	0.083
Loss:	=	0.048
Loss:	=	0.067
Loss:	=	0.091
Loss:	=	0.082
Loss:	=	0.088
Loss:	=	0.072
Loss:	=	0.054
Loss:	=	0.103
Loss:	=	0.084
Loss:	=	0.073
Loss:	=	0.074
Loss:	=	0.075
Loss:	=	0.045
Loss:	=	0.083
Loss:	=	0.077
Loss:	=	0.091
Loss:	=	0.071
Loss:	=	0.092
Loss:	=	0.085
Loss:	=	0.056
Loss:	=	0.103
Loss:	=	0.072
Loss:	=	0.083
Loss:	=	0.069
Loss:	=	0.085
Loss:	=	0.087
Loss:	=	0.068
Loss:	=	0.121
Loss:	=	0.12
Loss:	=	0.064
Loss:	=	0.085
Loss:	=	0.106
Loss:	=	0.094
Loss:	=	0.059
Loss:	=	0.083
Loss:	=	0.07
Loss:	=	0.072
Loss:	=	0.12
Loss:	=	0.058
Loss:	=	0.07
Loss:	=	0.101
Loss:	=	0.083
Loss:	=	0.087
Loss:	=	0.05
Loss:	=	0.077
Loss:	=	0.132
Loss:	=	0.052
Loss:	=	0.076
		
EPOCH	1	3
Loss:	=	0.052
Loss:	=	0.076
Loss:	=	0.101
Loss:	=	0.056
Loss:	=	0.076
Loss:	=	0.074
Loss:	=	0.07
Loss:	=	0.047
Loss:	=	0.063
Loss:	=	0.067
Loss:	=	0.058
Loss:	=	0.059
Loss:	=	0.046
Loss:	=	0.083
Loss:	=	0.068
Loss:	=	0.067
Loss:	=	0.053
Loss:	=	0.082
Loss:	=	0.063
Loss:	=	0.074
Loss:	=	0.081
Loss:	=	0.081
Loss:	=	0.113
Loss:	=	0.098
Loss:	=	0.098
Loss:	=	0.111
Loss:	=	0.066
Loss:	=	0.078
Loss:	=	0.056
Loss:	=	0.109
Loss:	=	0.062
Loss:	=	0.099
Loss:	=	0.118
Loss:	=	0.058
Loss:	=	0.072
Loss:	=	0.066
Loss:	=	0.06
Loss:	=	0.057
Loss:	=	0.07
Loss:	=	0.115
Loss:	=	0.078
Loss:	=	0.087
Loss:	=	0.056
Loss:	=	0.056
Loss:	=	0.096
Loss:	=	0.079
Loss:	=	0.107
Loss:	=	0.05
Loss:	=	0.093
Loss:	=	0.101
Loss:	=	0.083
Loss:	=	0.067
Loss:	=	0.077
Loss:	=	0.05
Loss:	=	0.064
Loss:	=	0.078
Loss:	=	0.093
Loss:	=	0.052
		
EPOCH	1	4
Loss:	=	0.066
Loss:	=	0.066
Loss:	=	0.073
Loss:	=	0.059
Loss:	=	0.046
Loss:	=	0.075
Loss:	=	0.052
Loss:	=	0.061
Loss:	=	0.1
Loss:	=	0.065
Loss:	=	0.064
Loss:	=	0.075
Loss:	=	0.085
Loss:	=	0.066
Loss:	=	0.081
Loss:	=	0.099
Loss:	=	0.062
Loss:	=	0.057
Loss:	=	0.107
Loss:	=	0.06
Loss:	=	0.086
Loss:	=	0.057
Loss:	=	0.063
Loss:	=	0.056
Loss:	=	0.104
Loss:	=	0.065
Loss:	=	0.067
Loss:	=	0.073
Loss:	=	0.08
Loss:	=	0.053
Loss:	=	0.054
Loss:	=	0.06
Loss:	=	0.063
Loss:	=	0.058
Loss:	=	0.097
Loss:	=	0.067
Loss:	=	0.055
Loss:	=	0.055
Loss:	=	0.058
Loss:	=	0.045
Loss:	=	0.056
Loss:	=	0.082
Loss:	=	0.056
Loss:	=	0.06
Loss:	=	0.072
Loss:	=	0.038
Loss:	=	0.063
Loss:	=	0.047
Loss:	=	0.06
Loss:	=	0.075
Loss:	=	0.045
Loss:	=	0.056
Loss:	=	0.079
Loss:	=	0.051
Loss:	=	0.086
Loss:	=	0.072
Loss:	=	0.045
Loss:	=	0.089
		
EPOCH	1	5
Loss:	=	0.061
Loss:	=	0.061
Loss:	=	0.055
Loss:	=	0.053
Loss:	=	0.081
Loss:	=	0.081
Loss:	=	0.069
Loss:	=	0.06
Loss:	=	0.055
Loss:	=	0.06
Loss:	=	0.052
Loss:	=	0.06
Loss:	=	0.069
Loss:	=	0.059
Loss:	=	0.059
Loss:	=	0.061
Loss:	=	0.041
Loss:	=	0.06
Loss:	=	0.067
Loss:	=	0.072
Loss:	=	0.038
Loss:	=	0.048
Loss:	=	0.06
Loss:	=	0.057
Loss:	=	0.046
Loss:	=	0.045
Loss:	=	0.032
Loss:	=	0.077
Loss:	=	0.065
Loss:	=	0.09
Loss:	=	0.076
Loss:	=	0.066
Loss:	=	0.071
Loss:	=	0.057
Loss:	=	0.064
Loss:	=	0.074
Loss:	=	0.056
Loss:	=	0.087
Loss:	=	0.052
Loss:	=	0.133
Loss:	=	0.033
Loss:	=	0.046
Loss:	=	0.048
Loss:	=	0.074
Loss:	=	0.067
Loss:	=	0.09
Loss:	=	0.051
Loss:	=	0.079
Loss:	=	0.072
Loss:	=	0.047
Loss:	=	0.074
Loss:	=	0.102
Loss:	=	0.088
Loss:	=	0.047
Loss:	=	0.089
Loss:	=	0.056
Loss:	=	0.063
Loss:	=	0.07
		
EPOCH	1	6
Loss:	=	0.063
Loss:	=	0.074
Loss:	=	0.109
Loss:	=	0.072
Loss:	=	0.065
Loss:	=	0.078
Loss:	=	0.067
Loss:	=	0.061
Loss:	=	0.11
Loss:	=	0.052
Loss:	=	0.049
Loss:	=	0.08
Loss:	=	0.083
Loss:	=	0.067
Loss:	=	0.065
Loss:	=	0.058
Loss:	=	0.046
Loss:	=	0.139
Loss:	=	0.055
Loss:	=	0.069
Loss:	=	0.063
Loss:	=	0.049
Loss:	=	0.055
Loss:	=	0.048
Loss:	=	0.069
Loss:	=	0.05
Loss:	=	0.05
Loss:	=	0.048
Loss:	=	0.082
Loss:	=	0.046
Loss:	=	0.06
Loss:	=	0.049
Loss:	=	0.054
Loss:	=	0.069
Loss:	=	0.138
Loss:	=	0.044
Loss:	=	0.072
Loss:	=	0.059
Loss:	=	0.076
Loss:	=	0.074
Loss:	=	0.054
Loss:	=	0.055
Loss:	=	0.099
Loss:	=	0.046
Loss:	=	0.082
Loss:	=	0.087
Loss:	=	0.063
Loss:	=	0.046
Loss:	=	0.046
Loss:	=	0.054
Loss:	=	0.054
Loss:	=	0.054
Loss:	=	0.059
Loss:	=	0.067
Loss:	=	0.11
Loss:	=	0.049
Loss:	=	0.082
Loss:	=	0.054
		
EPOCH	1	7
Loss:	=	0.089
Loss:	=	0.062
Loss:	=	0.06
Loss:	=	0.071
Loss:	=	0.056
Loss:	=	0.05
Loss:	=	0.032
Loss:	=	0.076
Loss:	=	0.073
Loss:	=	0.069
Loss:	=	0.071
Loss:	=	0.07
Loss:	=	0.049
Loss:	=	0.067
Loss:	=	0.083
Loss:	=	0.047
Loss:	=	0.056
Loss:	=	0.032
Loss:	=	0.037
Loss:	=	0.042
Loss:	=	0.047
Loss:	=	0.045
Loss:	=	0.059
Loss:	=	0.043
Loss:	=	0.062
Loss:	=	0.059
Loss:	=	0.041
Loss:	=	0.072
Loss:	=	0.046
Loss:	=	0.059
Loss:	=	0.051
Loss:	=	0.05
Loss:	=	0.054
Loss:	=	0.057
Loss:	=	0.055
Loss:	=	0.074
Loss:	=	0.051
Loss:	=	0.057
Loss:	=	0.062
Loss:	=	0.092
Loss:	=	0.072
Loss:	=	0.045
Loss:	=	0.042
Loss:	=	0.063
Loss:	=	0.051
Loss:	=	0.056
Loss:	=	0.06
Loss:	=	0.035
Loss:	=	0.025
Loss:	=	0.058
Loss:	=	0.052
Loss:	=	0.083
Loss:	=	0.064
Loss:	=	0.039
Loss:	=	0.045
Loss:	=	0.065
Loss:	=	0.033
Loss:	=	0.042
		
EPOCH	1	8
Loss:	=	0.04
Loss:	=	0.026
Loss:	=	0.048
Loss:	=	0.051
Loss:	=	0.058
Loss:	=	0.036
Loss:	=	0.088
Loss:	=	0.044
Loss:	=	0.045
Loss:	=	0.044
Loss:	=	0.07
Loss:	=	0.072
Loss:	=	0.046
Loss:	=	0.062
Loss:	=	0.055
Loss:	=	0.044
Loss:	=	0.051
Loss:	=	0.046
Loss:	=	0.031
Loss:	=	0.028
Loss:	=	0.067
Loss:	=	0.059
Loss:	=	0.065
Loss:	=	0.07
Loss:	=	0.044
Loss:	=	0.043
Loss:	=	0.066
Loss:	=	0.053
Loss:	=	0.044
Loss:	=	0.036
Loss:	=	0.069
Loss:	=	0.037
Loss:	=	0.054
Loss:	=	0.047
Loss:	=	0.051
Loss:	=	0.044
Loss:	=	0.05
Loss:	=	0.061
Loss:	=	0.067
Loss:	=	0.04
Loss:	=	0.056
Loss:	=	0.065
Loss:	=	0.052
Loss:	=	0.086
Loss:	=	0.125
Loss:	=	0.057
Loss:	=	0.11
Loss:	=	0.081
Loss:	=	0.065
Loss:	=	0.072
Loss:	=	0.038
Loss:	=	0.05
Loss:	=	0.103
Loss:	=	0.074
Loss:	=	0.059
Loss:	=	0.087
Loss:	=	0.056
Loss:	=	0.068
		
EPOCH	1	9
Loss:	=	0.106
Loss:	=	0.082
Loss:	=	0.067
Loss:	=	0.062
Loss:	=	0.059
Loss:	=	0.14
Loss:	=	0.035
Loss:	=	0.086
Loss:	=	0.075
Loss:	=	0.097
Loss:	=	0.105
Loss:	=	0.05
Loss:	=	0.08
Loss:	=	0.082
Loss:	=	0.051
Loss:	=	0.039
Loss:	=	0.065
Loss:	=	0.058
Loss:	=	0.09
Loss:	=	0.046
Loss:	=	0.041
Loss:	=	0.061
Loss:	=	0.059
Loss:	=	0.081
Loss:	=	0.083
Loss:	=	0.097
Loss:	=	0.081
Loss:	=	0.131
Loss:	=	0.082
Loss:	=	0.069
Loss:	=	0.073
Loss:	=	0.062
Loss:	=	0.061
Loss:	=	0.027
Loss:	=	0.052
Loss:	=	0.047
Loss:	=	0.05
Loss:	=	0.041
Loss:	=	0.084
Loss:	=	0.033
Loss:	=	0.087
Loss:	=	0.059
Loss:	=	0.076
Loss:	=	0.076
Loss:	=	0.065
Loss:	=	0.069
Loss:	=	0.071
Loss:	=	0.071
Loss:	=	0.064
Loss:	=	0.041
